   1116    -42 -15924
   1126    -70 -15964
   1126    -74 -15960
   1106    -80 -15974
   1086    -40 -15946
   1110    -46 -16002
   1068    -28 -15956
   1100    -64 -15952
   1108    -68 -15962
   1104    -52 -15954
   1098    -56 -15928
   1134    -40 -15942
   1094    -56 -15870
   1114    -60 -15992
   1106    -64 -15976
   1102    -52 -15950
   1110   -100 -15964
   1114    -46 -15902
   1114    -50 -15970
   1078    -58 -15912
   1118    -68 -15920
   1134    -46 -15938
   1104    -48 -16000
   1102    -28 -15956
   1140    -58 -16002
   1114    -20 -15958
   1142    -54 -15984
   1096    -84 -15988
   1086    -44 -15952
   1106    -52 -15966
   1140    -70 -15950
   1092    -44 -15934
   1098    -74 -15914
   1096    -44 -15942
   1100    -50 -15960
   1106    -34 -15988
   1130    -28 -15978
   1130    -48 -15982
   1118    -44 -15900
   1118    -10 -15954
   1104    -38 -15946
   1138    -12 -15954
   1106    -54 -15962
   1116    -38 -16006
   1098    -46 -15972
   1116    -36 -15950
   1108    -68 -15952
   1106    -60 -15996
   1064    -58 -15970
   1084    -48 -15930
   1098    -28 -15976
   1144    -68 -16000
   1132    -38 -15912
   1110    -64 -15996
   1070    -28 -15928
   1134    -56 -15946
   1128    -48 -15952
   1130    -40 -15942
   1096    -14 -15964
   1104    -64 -16016
   1108    -66 -15944
   1142    -68 -15974
   1098    -46 -15944
   1102    -40 -15936
   1154    -56 -16016
   1080    -44 -15930
   1094    -62 -15964
   1120    -28 -15924
   1104    -38 -15996
   1138    -40 -15918
   1134    -44 -15952
   1100    -20 -15948
   1148    -68 -16024
   1100    -40 -15928
   1124    -76 -15954
   1090    -58 -15940
   1138    -52 -16024
   1084    -50 -15958
   1128    -60 -16014
   1108    -48 -15914
   1134    -52 -16004
   1088    -36 -15930
   1092    -60 -15980
   1122    -28 -15930
   1134    -68 -16056
   1122    -60 -15908
   1116    -50 -15994
